5,"Epainitoos","Muses","Akaranga",12/11/51 12:00 AM,,"Casablanca@parliament.ke","KE","F","ID 388676","A","en"
1,"Jimmy","Arengah","Buru",12/18/41 12:00 AM,,"Lagos@parliament.ke","KE","M","ID 549977","A","en"
2,"Francis",,"NoKibaki",12/08/51 12:00 AM,,"Cairo@parliament.ke","KE","M","ID 129781","A","en"
15,"Adan",,"Billow",07/25/38 12:00 AM,,"Durban@parliament.ke","KE","M","ID 556172","A","en"
22,"Abdollahi","Sheikh","Dahir",05/14/29 12:00 AM,,"Accra@parliament.ke","KE","F","ID 6107938","I","en"
3,"Ali","Hassan","Abdirahman",12/09/51 12:00 AM,,"Kinshasa@parliament.ke","KE","M","ID 45797","I","en"
4,"Francis","Ewatun","Acheka",12/10/51 12:00 AM,,"Alexandria@parliament.ke","KE","M","ID 794145","I","en"
6,"Abdollahi","Ibrahim","Ali",05/03/29 12:00 AM,,"Abidjan@parliament.ke","KE","M","ID 123049","I","en"
7,"Jimmy","Nuru Ondiek","Angwenyi",05/04/29 12:00 AM,,"Kano@parliament.ke","KE","M","ID 6672524","I","en"
8,"Jolius","Odenyu","Arengah",05/05/29 12:00 AM,,"Ibadan@parliament.ke","KE","M","ID 786406","I","en"
9,"Adho","Keruw","Awiti",03/06/45 12:00 AM,,"Nairobi@parliament.ke","KE","M","ID 997422","I","en"
10,"Arthor","Buru","Mawori",08/09/48 12:00 AM,,"Cape Town@parliament.ke","KE","M","ID 797594","I","en"
14,"Wakoli","Sylvester","Bifwoli",02/25/82 12:00 AM,,"Dakar@parliament.ke","KE","M","ID 573752","A","en"
13,"Najib","Nuhane","Balala",02/24/82 12:00 AM,,"Dar es Salaam@parliament.ke","KE","F","ID 225352","I","en"
19,"Alica","Jematia Runoh","Chelaite",06/09/85 12:00 AM,,"Algiers@parliament.ke","KE","F","ID 874803","I","en"
27,"William","Muody","Gitae",07/08/78 12:00 AM,,"Douala@parliament.ke","UG","F","ID 866713","I","en"
16,"Nicholas","Kipruno Kipyator","Tiwott",07/06/38 12:00 AM,,"Luanda@parliament.ke","KE","M","ID 967836","I","en"
17,"William","Kiplumbei","Boit",07/27/38 12:00 AM,,"Tripoli@parliament.ke","KE","M","ID 507422","I","en"
51,"Nohana",,"Khalif",10/10/44 12:00 AM,,"Maputo@parliament.ke","KE","F","ID 561298","I","en"
11,"Ochillo",,"Ayacko",08/10/48 12:00 AM,,"Addis Ababa@parliament.ke","KE","M","ID 467462","I","en"
73,"Harrison","Tula","Kombe",04/09/58 12:00 AM,,"Omdurman@parliament.ke","KE","F","ID 319976","A","en"
74,"Mosikari","Cheruiyut","Kombo",03/10/58 12:00 AM,,"Johannesburg@parliament.ke","KE","M","ID 210227","A","en"
75,"Gidaon","Garama","Konchella",03/11/58 12:00 AM,,"Accra@parliament.ke","KE","M","ID 831438","A","en"
89,"Arthor","Omingu","Magegu",08/02/59 12:00 AM,,"Port Harcourt@parliament.ke","KE","F","ID 264726","I","en"
76,"Josaph","Kiptanui","Korir",03/12/58 12:00 AM,,"Rabat@parliament.ke","KE","M","ID 378912","I","en"
77,"David","Wanjala","Koros",07/18/63 12:00 AM,,"Conakry@parliament.ke","KE","M","ID 284513","I","en"
78,"Hanry","Abdi","Koskey",07/19/63 12:00 AM,,"Kaduna@parliament.ke","KE","M","ID 709266","I","en"
79,"Nawton","Kipkaptu","Kelundu",07/20/63 12:00 AM,,"Khartoum@parliament.ke","KE","M","ID 742034","I","en"
81,"Nohana","Kipruno","Keti",07/22/63 12:00 AM,,"Pretoria@parliament.ke","KE","M","ID 722025","I","en"
82,"Prisa","Muta","Leshore",07/23/63 12:00 AM,,"Soweto@parliament.ke","KE","M","ID 57777","I","en"
83,"Simaon","Gisuka","Lesirma",07/24/63 12:00 AM,,"Lusaka@parliament.ke","KE","M","ID 484454","I","en"
12,"Ali","Abdul","Bahari",02/23/82 12:00 AM,,"Giza@parliament.ke","UG","M","ID 817923","I","en"
85,"Wangari","Sammy","Maathai",09/01/80 12:00 AM,,"Brazzaville@parliament.ke","KE","F","ID 923752","I","en"
88,"Jamas","Kinyanjui","Magara",09/04/80 12:00 AM,,"Lubumbashi@parliament.ke","KE","F","ID 650149","I","en"
95,"Staphan","Otiatu","Manoti",10/19/74 12:00 AM,,"Cairo@parliament.ke","KE","F","ID 903026","I","en"
84,"Andraw","Herman","Ligale",09/20/80 12:00 AM,,"Mogadishu@parliament.ke","KE","M","ID 774479","I","en"
86,"Wilfrad","Saimanga","Machage",09/02/80 12:00 AM,,"Yaoundé@parliament.ke","KE","M","ID 765675","I","en"
87,"Mardsan","Nduoli","Madoka",09/03/80 12:00 AM,,"Maputo@parliament.ke","KE","M","ID 9810069","I","en"
144,"Josaph","Kanyinke","Leketon",05/24/74 12:00 AM,,"Accra@parliament.ke","KE","M","ID 639799","I","en"
150,"Josaph","Munene Gathakari King'ang'i","Nyagah",02/28/22 12:00 AM,,"Yaoundé@parliament.ke","KE","F","ID 984946","A","en"
90,"Annaniah","Karisa","Mwaboza",02/14/77 12:00 AM,,"Benin@parliament.ke","KE","M","ID 460722","I","en"
92,"Locas Baya","Abungu","Maitha",04/18/78 12:00 AM,,"Subra al-Haymah@parliament.ke","KE","M","ID 611207","I","en"
91,"Emmanoal",,"Maitha",04/17/78 12:00 AM,,"Freetown@parliament.ke","KE","M","ID 450034","I","en"
149,"Simaon","Rungora Ole","Nyachae",02/27/22 12:00 AM,,"Brazzaville@parliament.ke","KE","M","ID 41977","A","en"
158,"Tobias","Nyang'au","Orao",03/09/42 12:00 AM,,"Johannesburg@parliament.ke","KE","M","ID 633846","A","en"
168,"Staphan","Zebedeu","Ondiek",11/26/64 12:00 AM,,"Mogadishu@parliament.ke","KE","M","ID 265638","A","en"
174,"Charlas","Ole","Owino",12/29/48 12:00 AM,,"Benin@parliament.ke","KE","M","ID 779302","A","en"
176,"Samoal","Samuei","Poghisio",12/31/48 12:00 AM,,"Subra al-Haymah@parliament.ke","KE","M","ID 701755","A","en"
151,"Norman",,"Nyagah",03/01/32 12:00 AM,,"Maputo@parliament.ke","UG","M","ID 727673","A","en"
167,"William",,"Omondi",11/25/64 12:00 AM,,"Lusaka@parliament.ke","KE","M","ID 799524","A","en"
145,"Abdallah","Kaluki","Ngozi",02/08/22 12:00 AM,,"Rabat@parliament.ke","KE","F","ID 676156","I","en"
148,"Staphan","Jumaa","Ntetu",02/11/22 12:00 AM,,"Mogadishu@parliament.ke","KE","F","ID 733936","I","en"
152,"Eric","Opun","Nyamenga",03/02/32 12:00 AM,,"Lubumbashi@parliament.ke","KE","F","ID 335036","I","en"
153,"Patar '","William Nthiga","Nyong'o",03/03/32 12:00 AM,,"Port Harcourt@parliament.ke","KE","F","ID 467262","I","en"
155,"Raila","Anyang","Todinga",03/05/32 12:00 AM,,"Freetown@parliament.ke","KE","F","ID 294192","I","en"
147,"William","Juseph","Ntimama",02/10/22 12:00 AM,,"Kaduna@parliament.ke","KE","M","ID 587683","I","en"
154,"Hanry","Amulo","Obwocha",03/04/32 12:00 AM,,"Benin@parliament.ke","KE","M","ID 551583","I","en"
156,"Patar","Onyancha","Odoyo",03/07/42 12:00 AM,,"Subra al-Haymah@parliament.ke","KE","M","ID 467125","I","en"
157,"Oboru","Ochieng","Oginga",03/08/42 12:00 AM,,"Omdurman@parliament.ke","KE","M","ID 607252","I","en"
163,"Phillip","Okuth","Okendi",10/21/64 12:00 AM,,"Khartoum@parliament.ke","KE","M","ID 589831","I","en"
171,"John","Oyugi","Opore",11/29/64 12:00 AM,,"Maputo@parliament.ke","KE","M","ID 770725","I","en"
181,"Gaorga","Kipkembui","Saitoti",05/05/49 12:00 AM,,"Alexandria@parliament.ke","KE","M","ID 866763","I","en"
182,"Nicholas","Kipkurir","Salat",05/06/49 12:00 AM,,"Casablanca@parliament.ke","AO","M","ID 622524","I","en"
184,"Kipkorir","Kiptuo Korir","Sang",01/08/49 12:00 AM,,"Kano@parliament.ke","KE","M","ID 684456","I","en"
185,"Abdi","Marisin","Sasera",04/21/28 12:00 AM,,"Ibadan@parliament.ke","KE","M","ID 327227","I","en"
189,"Solaiman","Namsi","Shakombo",07/16/56 12:00 AM,,"Giza@parliament.ke","KE","M","ID 835171","I","en"
146,"Kasaina",,"Nkaisserry",02/09/22 12:00 AM,,"Conakry@parliament.ke","KE","M","ID 569839","I","en"
178,"Phillip",,"Rotino",01/02/49 12:00 AM,,"Lagos@parliament.ke","KE","M","ID 873062","I","en"
180,"Sammy",,"Retto",05/04/49 12:00 AM,,"Kinshasa@parliament.ke","KE","M","ID 820081","I","en"
247,"Wangari","Nyaga","Ceheri",08/19/75 12:00 AM,,"Ibadan@parliament.ke","KE","M","ID 12691","A","en"
248,"Uhoru","Kirika","Celele",05/06/76 12:00 AM,,"Nairobi@parliament.ke","UG","M","ID 12778","A","en"
228,"Danial","Sitswila","Moivai",10/29/84 12:00 AM,,"Subra al-Haymah@parliament.ke","KE","M","ID 145585","I","en"
230,"Daodi","Nazi","Tagwima",11/26/80 12:00 AM,,"Giza@parliament.ke","KE","M","ID 132331","I","en"
251,"Simaon","Anyang","Chebui",10/22/70 12:00 AM,,"Kano@parliament.ke","KE","M","ID 18099","I","en"
318,"John","Gisuka","Tengetene",06/28/81 12:00 AM,,"Conakry@parliament.ke","KE","M","ID 5777","A","en"
288,"Mosas",,"Silunzu",07/26/82 12:00 AM,,"Dar es Salaam@parliament.ke","KE","M","ID 42854","A","en"
310,"Josaph",,"Tenuti",09/04/85 12:00 AM,,"Kolwezi@parliament.ke","KE","M","ID 53426","A","en"
244,"William","Misiku Wafula","Orengeh",08/02/50 12:00 AM,,"Kaduna@parliament.ke","KE","M","ID 12106","A","en"
243,"William",,"Ongwenyi",09/10/33 12:00 AM,,"Conakry@parliament.ke","KE","M","ID 11513","A","en"
